hour_start,REGIONID,avg_net_interchange_mw
2026-03-06 22:00:00,QLD1,102.93
2026-03-06 22:00:00,SA1,-166.76
2026-03-06 22:00:00,TAS1,0.0
2026-03-06 22:00:00,VIC1,828.17
2026-03-06 23:00:00,NSW1,-775.67
2026-03-06 23:00:00,QLD1,338.66
2026-03-06 23:00:00,SA1,-247.29
2026-03-06 23:00:00,TAS1,0.0
2026-03-06 23:00:00,VIC1,732.23
2026-03-07 00:00:00,NSW1,-799.26
2026-03-07 00:00:00,QLD1,476.7
2026-03-07 00:00:00,SA1,-366.94
2026-03-07 00:00:00,TAS1,0.0
2026-03-07 00:00:00,VIC1,736.53
2026-03-07 01:00:00,NSW1,-899.3
2026-03-07 01:00:00,QLD1,627.72
2026-03-07 01:00:00,SA1,-415.74
2026-03-07 01:00:00,TAS1,0.0
2026-03-07 01:00:00,VIC1,746.86
2026-03-07 02:00:00,NSW1,-1015.99
2026-03-07 02:00:00,QLD1,599.34
2026-03-07 02:00:00,SA1,-361.98
2026-03-07 02:00:00,TAS1,0.0
2026-03-07 02:00:00,VIC1,850.67
2026-03-07 03:00:00,NSW1,-959.34
2026-03-07 03:00:00,QLD1,426.39
2026-03-07 03:00:00,SA1,-344.44
2026-03-07 03:00:00,TAS1,0.0
2026-03-07 03:00:00,VIC1,952.99
2026-03-07 04:00:00,NSW1,-998.0
2026-03-07 04:00:00,QLD1,291.48
2026-03-07 04:00:00,SA1,-196.59
2026-03-07 04:00:00,TAS1,0.0
2026-03-07 04:00:00,VIC1,993.7
2026-03-07 05:00:00,NSW1,-1242.54
2026-03-07 05:00:00,QLD1,337.56
2026-03-07 05:00:00,SA1,-309.57
2026-03-07 05:00:00,TAS1,0.0
2026-03-07 05:00:00,VIC1,1355.24
2026-03-07 06:00:00,NSW1,-1304.55
2026-03-07 06:00:00,QLD1,390.48
2026-03-07 06:00:00,SA1,-371.57
2026-03-07 06:00:00,TAS1,0.0
2026-03-07 06:00:00,VIC1,1431.42
2026-03-07 07:00:00,NSW1,-681.86
2026-03-07 07:00:00,QLD1,454.27
